pos_x,pos_y,pos_z
180,192,0
181,182,1
183,172,2
185,164,3
187,157,4
188,152,5
192,148,6
193,146,7
193,144,8
195,145,9
197,145,10
200,148,11
200,152,12
200,155,13
201,162,14
201,168,15
203,177,16
204,187,17
206,197,18
212,209,19
209,220,20
